BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201408,28,2100,201408,29,0,89835,541658,ILLINOIS,17,2014,August,Flash Flood,C,167,SANGAMON,ILX,8/28/2014 21:00,CST-6,8/29/2014 0:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,2.38,N,LANESVILLE,5.73,WSW,LANESVILLE,39.8844,-89.3502,39.8473,-89.3573,"Isolated thunderstorms developed along a warm front during the evening of August 28th.  Due to the slow-movement of the storms and copious amounts of moisture contained within the atmosphere, very high rainfall rates occurred.  Rainfall totals across portions of Sangamon, Logan, and Menard counties generally ranged from 2 to 4 inches, with the highest amount of 5.10 being reported on the southeast side of Springfield.  As a result of this rainfall over a short amount of time, widespread flash flooding was reported.  Over 200 water rescues were performed in Springfield.","A slow moving thunderstorm produced 2.50 to 4.00 inches of rain in less than two hours across a small part of rural, eastern Sangamon County. Most rural roads were impassable between Illiopolis and Mechanicsburg. Parts of I-72 between mileposts 117 and 120 had standing water and lane closures. The flooding quickly subsided by Midnight local time.",CSV
201411,16,1700,201411,17,300,91274,546965,ILLINOIS,17,2014,November,Heavy Snow,Z,92,ALEXANDER,PAH,11/16/2014 17:00,CST-6,11/17/2014 3:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,"An early season snowfall blanketed southern Illinois. The heaviest snowfall amounts were in counties along the Ohio River, where anywhere from three to five inches fell. These higher amounts also fell in the hilly terrain of Johnson County. Across the remainder of southern Illinois, snowfall ranged from one to three inches. A weak low pressure system developed over the northern Gulf of Mexico, then moved northeast into Alabama. This system threw moisture northward into unseasonably cold air over the Lower Ohio Valley, resulting in widespread snow. Specific snowfall amounts included 5 inches at Tunnel Hill (Johnson County), 4 inches at Eddyville (Pope County), 4 inches at Mound City (Pulaski County), 3 inches at Metropolis (Massac County), 3 inches at Harrisburg (Saline County), 3 inches at Rosiclare (Hardin County), 2 inches at Marion (Williamson County), 2 inches at Mount Erie (Wayne County), one inch near Murphysboro (Jackson County), and one inch near Mount Vernon (Jefferson County). The snow fell at temperatures right near freezing on relatively warm pavement. The highest accumulations were on grassy areas. Roads were slush-covered and slippery during and immediately after the period of heaviest snow.",,CSV
201411,16,1700,201411,17,300,91274,546966,ILLINOIS,17,2014,November,Heavy Snow,Z,93,PULASKI,PAH,11/16/2014 17:00,CST-6,11/17/2014 3:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,"An early season snowfall blanketed southern Illinois. The heaviest snowfall amounts were in counties along the Ohio River, where anywhere from three to five inches fell. These higher amounts also fell in the hilly terrain of Johnson County. Across the remainder of southern Illinois, snowfall ranged from one to three inches. A weak low pressure system developed over the northern Gulf of Mexico, then moved northeast into Alabama. This system threw moisture northward into unseasonably cold air over the Lower Ohio Valley, resulting in widespread snow. Specific snowfall amounts included 5 inches at Tunnel Hill (Johnson County), 4 inches at Eddyville (Pope County), 4 inches at Mound City (Pulaski County), 3 inches at Metropolis (Massac County), 3 inches at Harrisburg (Saline County), 3 inches at Rosiclare (Hardin County), 2 inches at Marion (Williamson County), 2 inches at Mount Erie (Wayne County), one inch near Murphysboro (Jackson County), and one inch near Mount Vernon (Jefferson County). The snow fell at temperatures right near freezing on relatively warm pavement. The highest accumulations were on grassy areas. Roads were slush-covered and slippery during and immediately after the period of heaviest snow.",,CSV
201408,26,2000,201408,26,2300,89834,541665,ILLINOIS,17,2014,August,Flash Flood,C,115,MACON,ILX,8/26/2014 20:00,CST-6,8/26/2014 23:00,0,0,0,0,20.00M,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,3.22,SW,WARRENSBURG,0.86,ESE,NIANTIC,39.8967,-89.1125,39.8453,-89.1436,"An approaching cold front triggered strong to severe thunderstorms across portions of central Illinois during the late afternoon and evening of August 26th.  Hail up to the size of quarters was reported in a few locations, while gusty winds of around 60 mph downed trees in Macon and Edgar counties.  In addition, high rainfall rates with the strongest storms led to localized flash flooding, particularly across portions of Macon, Christian, and DeWitt counties.  Rainfall amounts in these areas generally ranged from 1.50 to 2.50, with the highest observed total of 3.94 being measured by an observer near Kincaid in Christian County.","A severe thunderstorm produced 2.00 to 3.00 of rain within one hour in parts of central Macon County, including the cities of Decatur and Mt. Zion. The flash flooding resulted in the closure of numerous streets and viaducts in Decatur, as well as basement flooding to numerous homes and businesses. The flash flooding also impacted several rural roads from Harristown through Decatur to Mt. Zion. The flooding subsided by late evening.",CSV
201408,26,2030,201408,27,0,89834,541666,ILLINOIS,17,2014,August,Flash Flood,C,21,CHRISTIAN,ILX,8/26/2014 20:30,CST-6,8/27/2014 0:00,0,0,0,0,4.40M,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,3.14,NE,OSBERNVILLE,0.14,N,OSBERNVILLE,39.7845,-89.1416,39.8137,-89.1801,"An approaching cold front triggered strong to severe thunderstorms across portions of central Illinois during the late afternoon and evening of August 26th.  Hail up to the size of quarters was reported in a few locations, while gusty winds of around 60 mph downed trees in Macon and Edgar counties.  In addition, high rainfall rates with the strongest storms led to localized flash flooding, particularly across portions of Macon, Christian, and DeWitt counties.  Rainfall amounts in these areas generally ranged from 1.50 to 2.50, with the highest observed total of 3.94 being measured by an observer near Kincaid in Christian County.","A severe thunderstorm produced 2.50 to 4.00 of rain within 90 minutes in northwest and central Christian County, including parts of the city of Taylorville. Most rural roads from Taylorville to Edinburg and Kincaid were impassable. Some city streets and basements in homes in northwestern portions of Taylorville were also flooded. Illinois Routes 29 and 104 from Taylorville to Kincaid were closed for a period of time during the late evening. The flooding subsided by Midnight local time.",CSV
201411,16,1700,201411,17,300,91274,546968,ILLINOIS,17,2014,November,Heavy Snow,Z,89,JOHNSON,PAH,11/16/2014 17:00,CST-6,11/17/2014 3:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,"An early season snowfall blanketed southern Illinois. The heaviest snowfall amounts were in counties along the Ohio River, where anywhere from three to five inches fell. These higher amounts also fell in the hilly terrain of Johnson County. Across the remainder of southern Illinois, snowfall ranged from one to three inches. A weak low pressure system developed over the northern Gulf of Mexico, then moved northeast into Alabama. This system threw moisture northward into unseasonably cold air over the Lower Ohio Valley, resulting in widespread snow. Specific snowfall amounts included 5 inches at Tunnel Hill (Johnson County), 4 inches at Eddyville (Pope County), 4 inches at Mound City (Pulaski County), 3 inches at Metropolis (Massac County), 3 inches at Harrisburg (Saline County), 3 inches at Rosiclare (Hardin County), 2 inches at Marion (Williamson County), 2 inches at Mount Erie (Wayne County), one inch near Murphysboro (Jackson County), and one inch near Mount Vernon (Jefferson County). The snow fell at temperatures right near freezing on relatively warm pavement. The highest accumulations were on grassy areas. Roads were slush-covered and slippery during and immediately after the period of heaviest snow.",,CSV
201411,16,1700,201411,17,300,91274,546969,ILLINOIS,17,2014,November,Heavy Snow,Z,94,MASSAC,PAH,11/16/2014 17:00,CST-6,11/17/2014 3:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,"An early season snowfall blanketed southern Illinois. The heaviest snowfall amounts were in counties along the Ohio River, where anywhere from three to five inches fell. These higher amounts also fell in the hilly terrain of Johnson County. Across the remainder of southern Illinois, snowfall ranged from one to three inches. A weak low pressure system developed over the northern Gulf of Mexico, then moved northeast into Alabama. This system threw moisture northward into unseasonably cold air over the Lower Ohio Valley, resulting in widespread snow. Specific snowfall amounts included 5 inches at Tunnel Hill (Johnson County), 4 inches at Eddyville (Pope County), 4 inches at Mound City (Pulaski County), 3 inches at Metropolis (Massac County), 3 inches at Harrisburg (Saline County), 3 inches at Rosiclare (Hardin County), 2 inches at Marion (Williamson County), 2 inches at Mount Erie (Wayne County), one inch near Murphysboro (Jackson County), and one inch near Mount Vernon (Jefferson County). The snow fell at temperatures right near freezing on relatively warm pavement. The highest accumulations were on grassy areas. Roads were slush-covered and slippery during and immediately after the period of heaviest snow.",,CSV
201409,9,1100,201409,9,1400,90618,543740,ILLINOIS,17,2014,September,Flash Flood,C,57,FULTON,ILX,9/9/2014 11:00,CST-6,9/9/2014 14:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,5.5,WSW,ASTORIA,2.5,WSW,ASTORIA,40.2129,-90.4519,40.1898,-90.4527,"A developing warm front in the mid-Mississippi River Valley provided the focus for a series of slow moving thunderstorms with very heavy rainfall in parts of west central Illinois late in the morning on September 9th. Unseasonably high amounts of moisture in the atmosphere resulted in 2.50 to 4.00 inches of rain in less than two hours, particularly in and near Schuyler County. Flash flooding developed by early afternoon as a result of the heavy rainfall.",Slow moving thunderstorms with very heavy rainfall produced an average of 3.00 of rain in less than two hours in extreme southern Fulton County. Rural roads within one to two miles of the Schuyler County line were impassable. U.S. Highway 24 from two miles west-southwest of Astoria to the Schuyler County line was closed. The flooding subsided within about three hours by mid-afternoon.,CSV
201405,8,1805,201405,8,1806,85666,517342,ILLINOIS,17,2014,May,Hail,C,17,CASS,ILX,5/8/2014 18:05,CST-6,5/8/2014 18:06,0,0,0,0,0.00K,0.00K,Mesonet,0.88,,,,,,,,,,,2.07,S,PHILADELPHIA,2.07,S,PHILADELPHIA,39.89,-90.12,39.89,-90.12,A cold front interacting with a warm and humid airmass triggered scattered thunderstorms across west-central Illinois during the evening of May 8th.  A few of the storms produced 50 to 60 mph wind gusts and hail up to the size of nickels.,,CSV
201409,17,200,201409,17,800,90131,541442,ILLINOIS,17,2014,September,Dense Fog,Z,92,ALEXANDER,PAH,9/17/2014 2:00,CST-6,9/17/2014 8:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,The combination of clear skies and light winds resulted in widespread dense fog across southern Illinois. Visibility was one-quarter mile or less at times. High pressure extended from Pennsylvania southwest across the Ohio Valley.,,CSV
