BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201105,29,1045,201105,29,1045,51203,306793,ILLINOIS,17,2011,May,Thunderstorm Wind,C,43,DU PAGE,LOT,5/29/2011 10:45,CST-6,5/29/2011 10:45,0,0,0,0,0.00K,0.00K,ASOS,50,MG,,,,,,,,,,0,N,(DPA)DUPAGE CO ARPT,0,N,(DPA)DUPAGE CO ARPT,41.9,-88.25,41.9,-88.25,"Strong to severe thunderstorms moved across many areas of northern Illinois from late morning through late afternoon on May 29th producing damaging winds, large hail and heavy rain, which caused flash flooding in some areas.",,CSV
201105,29,1124,201105,29,1125,51203,306798,ILLINOIS,17,2011,May,Hail,C,63,GRUNDY,LOT,5/29/2011 11:24,CST-6,5/29/2011 11:25,0,0,0,0,0.00K,0.00K,Amateur Radio,1,,,,,,,,,,,0.6,W,KINSMAN,0.6,W,KINSMAN,41.181,-88.5815,41.181,-88.5815,"Strong to severe thunderstorms moved across many areas of northern Illinois from late morning through late afternoon on May 29th producing damaging winds, large hail and heavy rain, which caused flash flooding in some areas.",Quarter size hail was reported along Gardner Road near Kinsman.,CSV
201105,22,1440,201105,22,1441,51433,305626,ILLINOIS,17,2011,May,Hail,C,167,SANGAMON,ILX,5/22/2011 14:40,CST-6,5/22/2011 14:41,0,0,0,0,0.00K,0.00K,Mesonet,1,,,,,,,,,,,0,ENE,LELAND GROVE,0,ENE,LELAND GROVE,39.77,-89.7,39.77,-89.7,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
201105,22,1631,201105,22,1632,51433,305629,ILLINOIS,17,2011,May,Hail,C,95,KNOX,ILX,5/22/2011 16:31,CST-6,5/22/2011 16:32,0,0,0,0,0.00K,0.00K,Fire Department/Rescue,0.88,,,,,,,,,,,0,S,RIO,0,S,RIO,41.12,-90.4,41.12,-90.4,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
201105,22,1655,201105,22,1656,51433,305631,ILLINOIS,17,2011,May,Hail,C,57,FULTON,ILX,5/22/2011 16:55,CST-6,5/22/2011 16:56,0,0,0,0,0.00K,0.00K,Mesonet,1.25,,,,,,,,,,,0,SW,CANTON,0,SW,CANTON,40.57,-90.03,40.57,-90.03,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
201105,22,1658,201105,22,1659,51433,305633,ILLINOIS,17,2011,May,Hail,C,57,FULTON,ILX,5/22/2011 16:58,CST-6,5/22/2011 16:59,0,0,0,0,0.00K,0.00K,Mesonet,0.75,,,,,,,,,,,2,E,CANTON,2,E,CANTON,40.57,-89.9919,40.57,-89.9919,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
201105,22,1711,201105,22,1712,51433,305634,ILLINOIS,17,2011,May,Hail,C,143,PEORIA,ILX,5/22/2011 17:11,CST-6,5/22/2011 17:12,0,0,0,0,0.00K,0.00K,Emergency Manager,0.88,,,,,,,,,,,0,ENE,TRIVOLI,0,ENE,TRIVOLI,40.68,-89.9,40.68,-89.9,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
201105,29,1045,201105,29,1600,51203,307078,ILLINOIS,17,2011,May,Flash Flood,C,103,LEE,LOT,5/29/2011 10:45,CST-6,5/29/2011 16:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,Heavy Rain,,,,,,,,,2.35,WSW,AMBOY,1.2,N,MAYTOWN,41.7127,-89.3745,41.6734,-89.3745,"Strong to severe thunderstorms moved across many areas of northern Illinois from late morning through late afternoon on May 29th producing damaging winds, large hail and heavy rain, which caused flash flooding in some areas.",The Green River was reported out of its banks in the Amboy area.  Low areas including fields were flooded with 2 to 3 feet of standing water on the east and southeast side of Amboy.,CSV
201105,29,1245,201105,29,1600,51203,307084,ILLINOIS,17,2011,May,Flash Flood,C,43,DU PAGE,LOT,5/29/2011 12:45,CST-6,5/29/2011 16:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,Heavy Rain,,,,,,,,,0.9,NNE,KEENEYVILLE,0.89,ENE,KEENEYVILLE,41.9816,-88.1119,41.9729,-88.1119,"Strong to severe thunderstorms moved across many areas of northern Illinois from late morning through late afternoon on May 29th producing damaging winds, large hail and heavy rain, which caused flash flooding in some areas.",Street flooding was reported at the intersection of Pine Avenue and Mensching Road.  Goose Lake Park was reported to be under water from flooding.,CSV
201105,28,1830,201105,28,2100,51624,307117,ILLINOIS,17,2011,May,Flash Flood,C,197,WILL,LOT,5/28/2011 18:30,CST-6,5/28/2011 21:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,0.76,W,FAITHORN,0.14,SW,FAITHORN,41.4216,-87.6346,41.4052,-87.6346,"Strong thunderstorms moved across parts of northern Illinois during the late afternoon and evening hours of May 28th, producing small hail and heavy rain, which produced some flooding.",Dixie Highway was flooded and impassable with water up to car bumpers near the Balmoral Park Race Track.,CSV
201105,29,1300,201105,29,1306,51203,307118,ILLINOIS,17,2011,May,Strong Wind,Z,3,WINNEBAGO,LOT,5/29/2011 13:00,CST-6,5/29/2011 13:06,0,0,0,0,5.00K,0.00K,Broadcast Media,40,MG,,,,,,,,,,,,,,,,,,,,"Strong to severe thunderstorms moved across many areas of northern Illinois from late morning through late afternoon on May 29th producing damaging winds, large hail and heavy rain, which caused flash flooding in some areas.",Strong winds developed behind a line of thunderstorms across the Rockford area.  A baseball dugout and field fencing was damaged at a school on North Alpine Road.,CSV
201105,22,1500,201105,22,1600,50721,307222,ILLINOIS,17,2011,May,Flood,C,105,LIVINGSTON,LOT,5/22/2011 15:00,CST-6,5/22/2011 16:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,Heavy Rain,,,,,,,,,1.75,E,ROOKS CREEK,1.04,WNW,PONTIAC,40.8848,-88.6471,40.8755,-88.6471,Severe thunderstorms moved across many areas of northern Illinois during the afternoon and evening hours of May 22nd.  Heavy rain produced flash flooding in some areas and tornadoes were reported with some of the strongest storms that moved across far northern Illinois during the early evening hours.,Water was overflowing many streets in Pontiac after 1.12 inches of rain fell in 30 minutes.,CSV
201105,29,1159,201105,29,1159,51203,307230,ILLINOIS,17,2011,May,Hail,C,197,WILL,LOT,5/29/2011 11:59,CST-6,5/29/2011 11:59,0,0,0,0,0.00K,0.00K,Trained Spotter,0.75,,,,,,,,,,,0,N,NEW LENOX,0,N,NEW LENOX,41.52,-87.97,41.52,-87.97,"Strong to severe thunderstorms moved across many areas of northern Illinois from late morning through late afternoon on May 29th producing damaging winds, large hail and heavy rain, which caused flash flooding in some areas.",,CSV
201105,22,1716,201105,22,1717,51433,305636,ILLINOIS,17,2011,May,Hail,C,143,PEORIA,ILX,5/22/2011 17:16,CST-6,5/22/2011 17:17,0,0,0,0,0.00K,0.00K,Emergency Manager,1,,,,,,,,,,,0,NE,HANNA CITY,0,NE,HANNA CITY,40.68,-89.8,40.68,-89.8,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
201105,22,1729,201105,22,1730,51433,305637,ILLINOIS,17,2011,May,Hail,C,57,FULTON,ILX,5/22/2011 17:29,CST-6,5/22/2011 17:30,0,0,0,0,0.00K,0.00K,Mesonet,0.88,,,,,,,,,,,0,N,ST DAVID,0,N,ST DAVID,40.48,-90.05,40.48,-90.05,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
201105,22,1737,201105,22,1738,51433,305638,ILLINOIS,17,2011,May,Hail,C,143,PEORIA,ILX,5/22/2011 17:37,CST-6,5/22/2011 17:38,0,0,0,0,0.00K,0.00K,Emergency Manager,0.75,,,,,,,,,,,0,E,GLASFORD,0,E,GLASFORD,40.57,-89.82,40.57,-89.82,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
201105,22,1750,201105,22,1751,51433,305640,ILLINOIS,17,2011,May,Hail,C,179,TAZEWELL,ILX,5/22/2011 17:50,CST-6,5/22/2011 17:51,0,0,0,0,0.00K,0.00K,Emergency Manager,0.75,,,,,,,,,,,0,N,NORTH PEKIN,0,N,NORTH PEKIN,40.62,-89.62,40.62,-89.62,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
201105,22,1900,201105,22,1901,51433,305643,ILLINOIS,17,2011,May,Hail,C,95,KNOX,ILX,5/22/2011 19:00,CST-6,5/22/2011 19:01,0,0,0,0,0.00K,0.00K,Mesonet,1,,,,,,,,,,,0,N,ABINGDON,0,N,ABINGDON,40.8,-90.4,40.8,-90.4,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
201106,10,1357,201106,10,1358,53210,318227,ILLINOIS,17,2011,June,Hail,C,101,LAWRENCE,ILX,6/10/2011 13:57,CST-6,6/10/2011 13:58,0,0,0,0,0.00K,0.00K,COOP Observer,0.88,,,,,,,,,,,2.26,ENE,BIRDS,2.26,ENE,BIRDS,38.84,-87.63,38.84,-87.63,"An area of low pressure tracking from northern Missouri into the southern Great Lakes triggered scattered thunderstorms across central Illinois during the afternoon and evening of June 10th into the early morning hours of the 11th.  A few of the storms produced large hail up to the size of golf balls, as well as gusty winds of 50 to 60 mph.  In addition, a brief tornado touch down occurred in rural Schuyler County near Littleton.",,CSV
201106,10,1430,201106,10,1431,53210,318228,ILLINOIS,17,2011,June,Hail,C,49,EFFINGHAM,ILX,6/10/2011 14:30,CST-6,6/10/2011 14:31,0,0,0,0,0.00K,0.00K,Mesonet,0.75,,,,,,,,,,,1.48,NNW,EDGEWOOD,1.48,NNW,EDGEWOOD,38.94,-88.66,38.94,-88.66,"An area of low pressure tracking from northern Missouri into the southern Great Lakes triggered scattered thunderstorms across central Illinois during the afternoon and evening of June 10th into the early morning hours of the 11th.  A few of the storms produced large hail up to the size of golf balls, as well as gusty winds of 50 to 60 mph.  In addition, a brief tornado touch down occurred in rural Schuyler County near Littleton.",,CSV
201106,10,1432,201106,10,1433,53210,318229,ILLINOIS,17,2011,June,Hail,C,49,EFFINGHAM,ILX,6/10/2011 14:32,CST-6,6/10/2011 14:33,0,0,0,0,0.00K,0.00K,Public,0.88,,,,,,,,,,,0,W,EDGEWOOD,0,W,EDGEWOOD,38.92,-88.65,38.92,-88.65,"An area of low pressure tracking from northern Missouri into the southern Great Lakes triggered scattered thunderstorms across central Illinois during the afternoon and evening of June 10th into the early morning hours of the 11th.  A few of the storms produced large hail up to the size of golf balls, as well as gusty winds of 50 to 60 mph.  In addition, a brief tornado touch down occurred in rural Schuyler County near Littleton.",,CSV
201105,22,1750,201105,22,1755,51433,305655,ILLINOIS,17,2011,May,Hail,C,179,TAZEWELL,ILX,5/22/2011 17:50,CST-6,5/22/2011 17:55,0,0,0,0,0.00K,0.00K,Amateur Radio,0.88,,,,,,,,,,,0,N,PEKIN,0,N,PEKIN,40.57,-89.63,40.57,-89.63,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
201105,22,1300,201105,22,1305,51433,305656,ILLINOIS,17,2011,May,Hail,C,179,TAZEWELL,ILX,5/22/2011 13:00,CST-6,5/22/2011 13:05,0,0,0,0,0.00K,0.00K,Amateur Radio,0.75,,,,,,,,,,,0,N,MORTON,0,N,MORTON,40.62,-89.45,40.62,-89.45,"A strong cold front interacting with a highly unstable airmass triggered several rounds of thunderstorms across central Illinois during the afternoon of May 22nd.  Numerous reports of large hail were received, with up to golfball-sized stones occurring across parts of Mason County.  In addition, 60 to 70 mph winds downed trees across Knox County.",,CSV
